"url","title","year","poster","poster_alt","percent_fresh","audience_score","average_rating","reviews_counted","critics_consensus","genre","rating","director","writer","studio","runtime","cast","New column","description"
"https://www.rottentomatoes.com/m/the_other_side_of_the_door","The Other Side of the Door","(2016)","https://resizing.flixster.com/cuvNUPKNSC0ESDQp6y83CkUMDDY=/206x305/v1.bTsxMTI1MzgxMTtqOzE3NjgwOzEyMDA7Mjg0OzQwNQ","The Other Side of the Door","37","29%","4.7/10","35","wastes solid work from Sarah Wayne Callies on thoroughly middling horror fare.","Horror; Mystery & Suspense","R (for some bloody violence)","Johannes Roberts","Johannes Roberts; Ernest Riera","","","Sarah Wayne Callies 
as Maria 
 
 
 
 Jeremy Sisto 
as Michael 
 
 
 
 Sofia Rosinsky 
as Lucy 
 
 
 
 Logan Creran 
as Oliver 
 
 
 
 Suchitra Pillai 
as Piki 
 
 
 
 Javier Botet 
as Myrtu 
 
 
 
 Shoa Hussain 
as Doctor 
 
 
 
 Mishti Bangera 
as Anushka 
 
 
 
 Amarjeet Singh 
as Aghori 
 
 
 
 Ashok Choudhary 
as Aghori 
 
 
 
 Vijay Saini 
as Aghori 
 
 
 
 Vijay Gupta 
as Aghori 
 
 
 
 Rahil Gilani 
as Aghori 
 
 
 
 Manoj 
as Aghori 
 
 
 
 Anup Kumar Sharma 
as Aghori 
 
 
 
 Manoj Prajapati 
as Aghori 
 
 
 
 Avinaash Razdan 
as Aghori 
 
 
 
 Vijay Jadhav 
as Grave Digger 
 
 
 
 Binod Kumar Saha 
as Grave Digger 
 
 
 
 R.N. Shukla 
as Gardener 
 
 
 
 Tulasi Prajapati 
as Screaming Girl 
 
 Show More Cast","","A family lives an idyllic existence abroad until a tragic accident takes the life of their young son. The inconsolable mother learns of an ancient ritual that will bring him back to say a final goodbye. She travels to an ancient temple, where a door serves as a mysterious portal between two worlds. But when she disobeys a sacred warning to never open that door, she upsets the balance between life and death."
"https://www.rottentomatoes.com/m/why_him","Why Him?","(2016)","https://resizing.flixster.com/z2iVqlAjw81Kw5ZtC6yzWOlybFo=/206x305/v1.bTsxMjExMTcxMTtqOzE3NjAwOzEyMDA7NTAwOzc0MA","Why Him?","39","51%","4.9/10","140","offers the odd chuckle, but ultimately adds disappointingly little to its tired father-vs.-fiancé formula.","Comedy","R (for strong language and sexual material throughout)","John Hamburg","John Hamburg; Ian Helfer","20th Century Fox","111 minutes","Bryan Cranston 
as Ned Fleming 
 
 
 
 James Franco 
as Laird Mayhew 
 
 
 
 Zoey Deutch 
as Stephanie Fleming 
 
 
 
 Megan Mullally 
as Barb Fleming 
 
 
 
 Cedric the Entertainer 
 
 
 
 Keegan-Michael Key 
as Gustav 
 
 
 
 Griffin Gluck 
as Scotty Fleming 
 
 
 
 Andrew Rannells 
 
 
 
 Adam DeVine 
 
 
 
 Zack Pearlman 
 
 Show More Cast","","Over the holidays, Ned (Bryan Cranston), an overprotective but loving dad and his family visit his daughter at Stanford, where he meets his biggest nightmare: her well-meaning but socially awkward Silicon Valley billionaire boyfriend, Laird (James Franco). The straight-laced Ned thinks Laird, who has absolutely no filter, is a wildly inappropriate match for his daughter. The one-sided rivalry-and Ned's panic level-escalate when he finds himself increasingly out of step in the glamorous high-tech hub, and learns that Laird is about to pop the question."
"https://www.rottentomatoes.com/m/observance","","","https://resizing.flixster.com/MBg51CP3jH4qFfxz2Ag5P-_--HQ=/206x305/v1.bTsxMjIzMDc2MjtqOzE3NjAxOzEyMDA7MTE2NjsxNDc0","Observance","82","34%","6.6/10","11","","Art House & International; Drama; Horror; Mystery & Suspense","NR","Joseph Sims-Dennett; Joseph Sims","Joseph Sims-Dennett; Josh Zammit; Joseph Sims","","","Linsday Farris 
 
 
 
 Lindsay Farris 
 
 
 
 Stephanie King 
 
 
 
 Benedict Hardie 
 
 
 
 Tom O'Sullivan 
 
 
 
 John Jarratt 
 
 
 
 Brendan Cowell 
 
 Show More Cast","","A recently-divorced private investigator, mourning the death of his son and facing bankruptcy, reluctantly takes on a surveillance job. Anticipating the assignment to be routine, he soon witnesses a series of bizarre and unexplained happenings, drawing him into a world of intrigue and horror that slowly begin to consume him."
"https://www.rottentomatoes.com/m/troublemakers_the_story_of_land_art_2016","Troublemakers: The Story of Land Art","(2016)","https://resizing.flixster.com/8DHR1iO6X3Th2EKzyxS-FhL37Ik=/206x305/v1.bTsxMTIwMzExNjtqOzE3Njc5OzEyMDA7MjkwNzszODc2","Troublemakers: The Story of Land Art","94","70%","6.9/10","16","","Documentary","NR","James Crump","James Crump","","","Dennis Oppenheim 
 
 
 
 Vito Acconci 
 
 
 
 Carl Andre 
 
 
 
 Michael Heizer 
 
 
 
 Virginia Dwan 
 
 
 
 Robert Smithson 
 
 
 
 Germano Celant 
 
 
 
 Willoughby Sharp 
 
 
 
 Gianfranco Gorgoni 
 
 
 
 Nancy Holt 
 
 
 
 Walter DeMaria 
 
 
 
 Charles Ross 
 
 
 
 Paula Cooper 
 
 
 
 Pamela Sharp 
 
 
 
 Lawrence Weiner 
 
 
 
 Harald Szeemann 
 
 Show More Cast","","Troublemakers unearths the history of land art in the tumultuous late 1960s and early 1970s. The film features a cadre of renegade New York artists that sought to transcend the limitations of painting and sculpture by producing earthworks on a monumental scale in the desolate desert spaces of the American southwest. Today these works remain impressive not only for the sheer audacity of their makers but also for their out-sized ambitions to break free from traditional norms. The film casts these artists in a heroic light, which is exactly how they saw themselves. Iconoclasts who changed the landscape of art forever, these revolutionary, antagonistic creatives risked their careers on radical artistic change and experimentation, and took on the establishment to produce art on their own terms. The film includes rare footage and interviews which unveil the enigmatic lives and careers of storied artists Robert Smithson , Walter De Maria and Michael Heizer; a headstrong troika that established the genre. As the film makes clear, in making works that can never be possessed as an object in a gallery, these troublemakers stand in marked contrast to the hyper-speculative contemporary art world of today.; More"
"https://www.rottentomatoes.com/m/band_of_robbers_2016","Band Of Robbers","(2016)","https://resizing.flixster.com/iqXgSSQHND-6UEb1vp_6dGLkXbQ=/206x305/v1.bTsxMTIxODg1MDtqOzE3Njc5OzEyMDA7NTA5Ozc1NQ","Band Of Robbers","77","61%","6.6/10","26","","Action & Adventure; Comedy","NR","Aaron Nee; Adam Nee","Aaron Nee; Adam Nee","","","Kyle Gallner 
as Huck Finn 
 
 
 
 Adam Nee 
as Tom Sawyer 
 
 
 
 Matthew Gray Gubler 
as Joe Harper 
 
 
 
 Hannibal Buress 
as Ben Rogers 
 
 
 
 Melissa Benoist 
as Becky Thatcher 
 
 
 
 Daniel Edward Mora 
as Jorge Jiminez 
 
 
 
 Stephen Lang 
as Injun Joe 
 
 
 
 Eric Christian Olsen 
as Sid Sawyer 
 
 
 
 Beth Grant 
as Widow Douglas 
 
 
 
 Johnny Pemberton 
as Tommy Barnes 
 
 
 
 Cooper Huckabee 
as Muff Potter 
 
 
 
 Lee Garlington 
as Lt. Polly 
 
 
 
 Creed Bratton 
as Dobbins 
 
 
 
 Gabriel Bateman 
as Young Huck Finn 
 
 
 
 Willem Miller 
as Young Tom Sawyer 
 
 
 
 Harvey J. Alperin 
as Parole Chief 
 
 
 
 Maria Blasucci 
as Amy Lawrence 
 
 
 
 Josh Harp 
as Packard 
 
 
 
 Brian Sacca 
as Detective Temple 
 
 
 
 Jack Wallace 
as Doc Robinson 
 
 
 
 Yannis Bariamis 
as Hotel Manager 
 
 
 
 Nate Michaux 
as Grocery Store Employee 
 
 
 
 Annie O'Donnell 
as Elderly Woman 
 
 
 
 Ryan Judd 
as Transport Driver 
 
 
 
 Adam Carpenter 
as Transport Guard 
 
 
 
 Zachary Steel 
as Duke 
 
 
 
 Rick Rosenthal 
as King 
 
 
 
 Jeff Newburg 
as Pap Finn 
 
 Show More Cast","","A modern-day retelling of Mark Twain's iconic books, Band of Robbers is a comedic adventure that reimagines the characters as grown men, and small-time crooks. When Huck Finn is released from prison, he hopes to leave his criminal life behind, but his lifelong friend, and corrupt cop, Tom Sawyer, has other plans. Not ready to give up on his childhood fantasies, Tom forms the Band of Robbers, recruiting their misfit friends, Joe Harper and Ben Rogers, to join them for an elaborate plan to find a fabled treasure. But the plan soon unravels, thrusting the guys on a wild journey with dangerous consequences...; More"
"https://www.rottentomatoes.com/m/jia_zhangke_a_guy_from_fenyang_2016","","","https://resizing.flixster.com/tJsS_582tQnBHbf3d72oAT_UN5k=/206x305/v1.bTsxMTg4MjMzNjtqOzE3NTk3OzEyMDA7MTAxMzsxNTAw","Jia Zhangke, a Guy from Fenyang","80","","6.5/10","10","","Art House & International; Documentary","NR","Walter Salles","","","","Zhangke Jia","","Brazilian filmmaker Walter Salles accompanies the prolific Chinese director Jia Zhangke on a walk down memory lane, as he revisits his hometown and other locations used in creating his ever-growing body of work. At each location, they visit Jia's family, friends, and former colleagues, and their conversations range from his mother's tales of him as a young boy to amusing remembrances of school days and film shoots to memories of his father and to the shared understanding that if not for pirated DVDs, much of Jia's work would go unseen in China. All roads traveled are part of one journey; the destination of which is Jia's relationship to his past and to his country. The confluence of storytelling, intellect, and politics informing all of Jia's work is brought to light in this lovely, intimate portrait of the artist on his way to the future.; More"
"https://www.rottentomatoes.com/m/the_girl_on_the_train_2016","The Girl on the Train","(2016)","https://resizing.flixster.com/G7x_9Y1aU7M_-vf1JeExbqvfPXA=/206x305/v1.bTsxMjIyOTg0MjtqOzE3NjAxOzEyMDA7MzE1ODs1MDAw","The Girl on the Train","45","49%","5.4/10","265","from sliding sluggishly into exploitative melodrama.","Drama; Mystery & Suspense","R (for violence, sexual content, language and nudity)","Tate Taylor","Erin Cressida Wilson","","112 minutes","Emily Blunt 
as Rachel Watson 
 
 
 
 Rebecca Ferguson 
as Anna 
 
 
 
 Haley Bennett 
as Megan 
 
 
 
 Justin Theroux 
as Tom 
 
 
 
 Allison Janney 
as Detective Riley 
 
 
 
 Lisa Kudrow 
as Monica 
 
 
 
 Luke Evans 
as Scott 
 
 
 
 Edgar Ramirez 
as Dr. Kamal Abdic 
 
 
 
 Laura Prepon 
as Cathy 
 
 Show More Cast","","Rachel, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds. Based on Paula Hawkins' bestselling novel."
"https://www.rottentomatoes.com/m/gifted_2017","Gifted","(2017)","https://resizing.flixster.com/fijPvDL6CKw0mR-62fAW3lHTC0s=/206x305/v1.bTsxMjI0OTEyNTtwOzE3NjAxOzEyMDA7NjAwOzg4NA","Gifted","73","85%","6.4/10","163","isn't quite as bright as its pint-sized protagonist, but a charming cast wrings respectably engaging drama out of a fairly predictable premise.","Drama","PG-13 (for thematic elements, language and some suggestive material)","Marc Webb","","","","","","Frank Adler (Chris Evans) is a single man raising a child prodigy - his spirited young niece Mary (Mckenna Grace) - in a coastal town in Florida. Frank's plans for a normal school life for Mary are foiled when the seven-year-old's mathematical abilities come to the attention of Frank's formidable mother Evelyn (Lindsay Duncan) whose plans for her granddaughter threaten to separate Frank and Mary. Octavia Spencer plays Roberta, Frank and Mary's landlady and best friend. Jenny Slate is Mary's teacher, Bonnie, a young woman whose concern for her student develops into a connection with her uncle as well; More"
"https://www.rottentomatoes.com/m/the_corpse_of_anna_fritz","","","https://resizing.flixster.com/WWIkPLciOESrPpyZEs1Fdxsry0s=/206x305/v1.bTsxMTY1ODQ1OTtqOzE3Njg0OzEyMDA7NjgzOzEwMjQ","The Corpse Of Anna Fritz (El Cadáver De Anna Fritz)","67","34%","6.4/10","9","","Art House & International; Drama; Mystery & Suspense","NR","Hèctor Hernández Vicens","Isaac P. Creus; Hèctor Hernández Vicens","","","Albert Carbó 
 
 
 
 Alba Ribas 
 
 
 
 Bernat Saumell 
 
 
 
 Cristian Valencia","","Anna Fritz, a beautiful Spanish actress and one of the most desired women in the world, has suddenly died. Her body is transferred to a city morgue, where a withdrawn young orderly, Pau, becomes fascinated with her lifeless cadaver. When Pau sends a picture of the dead celebrity to his two friends, they show up at the morgue for a glimpse of the beautiful starlet. As the whiskey bottles and coke packets empty, the three friends decide this is an opportunity they can't pass up to get up close and personal with the corpse of Anna Fritz."
"https://www.rottentomatoes.com/m/darling_2016","Darling","(2016)","https://resizing.flixster.com/DHg6rVot8zfOWhK-Yc2Gz1sQeN0=/206x305/v1.bTsxMTc5NDU0OTtqOzE3NTk2OzEyMDA7ODY0OzEyODA","Darling","71","45%","6.3/10","24","","Horror; Mystery & Suspense","NR","Mickey Keating","Mickey Keating","","","Lauren Ashley Carter 
as Darling 
 
 
 
 Sean Young 
as Madame 
 
 
 
 Brian Morvant 
as The Man 
 
 
 
 Larry Fessenden 
as Officer Maneretti 
 
 
 
 John Speredakos 
as Officer Clayton 
 
 
 
 Nisa Petty 
as Ms. Hill Al 
 
 
 
 Helen Rogers 
as The New Girl 
 
 
 
 Meg Gardner 
 
 
 
 AnnaBelle Duffy 
 
 
 
 Mickael Zarka 
 
 
 
 Tara Duffy 
 
 Show More Cast","","DARLING follows a lonely young woman who moves into an old, mysterious Manhattan mansion. Hired as caretaker, it's not long before she discovers the estate's haunted reputation and troubling past - stories that slowly transform into a backdrop for her twisted and violent descent into madness... Mickey Keating's new feature is a chilling black‐and‐white psychological horror story beautifully shot in New York City. Edited like a nightmare and scored like a hallucination, DARLING stars Lauren Ashley Carter (POD, JUG FACE) with supporting performances by Brian Morvant, Sean Young, Larry Fessenden, John Speredakos, and Helen Rogers. Produced by Fessenden and Jenn Wexler for Glass Eye Pix and Sean Fowler for Alexander Groupe; Keating and Carter are also producers.; More"
